TIMESTAMP,CLOSE,HIGH,LOW,VOLUME,OPEN,BID,ASK,TRNOVR_UNS,VWAP,BLKCOUNT,BLKVOLUM,NUM_MOVES,TRD_STATUS,SALTIM,NAVALUE,VWAP_VOL,DATE,RETURN,DAILY_SENTIMENT,NUM_HEADLINES,POS_SHARE,NEG_SHARE
2025-08-22,227.76,229.09,225.41,42477811,226.17,227.75,227.78,9674915624,227.7979,67,12024501,488076,1,72000,,37763833,2025-08-22,0.012716763005780285,-0.42388069909065973,2,0.5,0.5
2025-08-25,227.16,229.3,226.23,30983133,226.48,227.15,227.19,7064023683,228.0561,30,6386621,426385,1,72000,,28400007,2025-08-25,-0.0026343519494204104,-0.14729329036842836,19,0.42105263157894735,0.42105263157894735
2025-08-26,229.31,229.49,224.69,54575107,226.87,229.3,229.37,12454024039,228.0225,71,28221932,405233,1,72000,,45547488,2025-08-26,0.009464694488466208,-0.10607354839642844,30,0.43333333333333335,0.3333333333333333
2025-08-27,230.49,230.9,228.26,31259513,228.61,230.45,230.51,7190407545,229.9973,45,7134168,387841,1,72000,,27492196,2025-08-27,0.005145872399808127,0.06505796732380985,22,0.5,0.22727272727272727
2025-08-28,232.56,233.41,229.335,38074700,230.82,232.48,232.49,8835416217,232.0585,61,10851201,423338,1,72000,,32439709,2025-08-28,0.008980866848887104,-0.029032274492477146,19,0.3157894736842105,0.3157894736842105
2025-08-29,232.14,233.38,231.37,39418437,232.51,232.21,232.27,9157732614,232.3293,78,12184801,428938,1,72000,,34476993,2025-08-29,-0.001805985552115641,0.16014939157122918,11,0.5454545454545454,0.18181818181818182
2025-09-02,229.72,230.85,226.97,44075638,229.25,229.66,229.73,10137097619,228.9768,52,8496313,598029,1,72000,,34988757,2025-09-02,-0.010424743689153027,0.15045528113842008,18,0.6111111111111112,0.16666666666666666
2025-09-03,238.47,238.85,234.36,66427835,237.21,238.48,238.49,15745334350,236.9385,111,11344726,898535,1,72000,,60428497,2025-09-03,0.038089848511231095,0.11389405226024486,24,0.5833333333333334,0.20833333333333334
2025-09-04,239.78,239.8999,236.74,47549429,238.45,239.71,239.72,11340684107,238.408,76,11710901,541770,1,72000,,42358612,2025-09-04,0.005493353461651473,0.09202682475248973,24,0.5833333333333334,0.16666666666666666
2025-09-05,239.69,241.32,238.4901,54870397,239.995,239.61,239.67,13151179587,239.6716,86,13233435,610786,1,72900,,46957223,2025-09-05,-0.00037534406539330156,0.12874414213001728,17,0.5882352941176471,0.17647058823529413
2025-09-08,237.88,240.15,236.34,48999495,239.3,237.9,237.92,11671996510,238.2193,77,12590532,563611,1,72900,,41290731,2025-09-08,-0.007551420584922197,0.08690334410455666,19,0.47368421052631576,0.21052631578947367
2025-09-09,234.35,238.7805,233.36,66313918,237.0,234.34,234.35,15622184233,235.6482,78,9505587,757845,1,72000,,61276703,2025-09-09,-0.014839414831007258,0.07083254016161093,113,0.49557522123893805,0.11504424778761062
2025-09-10,226.79,232.42,225.95,83440810,232.185,226.77,226.84,19006914260,227.7479,109,16250601,1031749,1,72900,,75967362,2025-09-10,-0.03225944100704081,0.19164151375335226,79,0.5569620253164557,0.12658227848101267
2025-09-11,230.03,230.45,226.65,50208578,226.875,230.02,230.06,11503708853,229.1371,73,11773750,592895,1,72000,,44088483,2025-09-11,0.014286344195070466,-0.06319204351554315,30,0.4,0.26666666666666666
2025-09-12,234.07,234.51,229.02,55824216,229.22,234.05,234.07,13014544422,233.27,81,13694336,602121,1,72000,,50539743,2025-09-12,0.017562926574794524,0.18522836717552152,29,0.6206896551724138,0.10344827586206896
2025-09-15,236.7,238.19,235.03,42699524,237.0,236.72,236.76,10091530819,236.3465,76,7223918,575938,1,72900,,37476529,2025-09-15,0.011235955056179803,0.1140820887715866,24,0.5416666666666666,0.125
2025-09-16,238.15,241.22,236.3235,63421099,237.175,238.11,238.14,15147584391,238.9109,76,15236442,679032,1,72900,,58087473,2025-09-16,0.006125897760878907,0.17785832500085233,20,0.65,0.1
2025-09-17,238.99,240.1,237.7301,46508017,238.97,238.96,238.99,11124967653,239.2379,69,13269526,509297,1,72000,,40214567,2025-09-17,0.0035271887465881946,0.00605845985853153,23,0.43478260869565216,0.2608695652173913
2025-09-18,237.88,241.2,236.65,44249576,239.97,237.87,237.97,10533933359,238.0362,71,12129053,517293,1,72900,,39150234,2025-09-18,-0.004644545796895327,-0.02195214506770884,14,0.35714285714285715,0.21428571428571427
2025-09-19,245.5,246.3,240.2106,163741314,241.225,245.27,245.29,40029475134,244.3641,192,91170665,908635,1,72000,,135647496,2025-09-19,0.03203295779384563,0.2208162699335892,38,0.5526315789473685,0.10526315789473684
2025-09-22,256.08,256.64,248.12,105517416,248.3,256.09,256.17,26779800476,253.9195,145,18110061,1183543,1,72900,,97338309,2025-09-22,0.04309572301425657,0.2420712313369701,19,0.7368421052631579,0.10526315789473684
2025-09-23,254.43,257.34,253.58,60275187,255.875,254.49,254.53,15380278528,255.1973,94,16845943,673983,1,72900,,53811252,2025-09-23,-0.006443298969072031,0.004587708972394437,18,0.3888888888888889,0.16666666666666666
2025-09-24,252.31,255.74,251.04,42303710,255.22,252.2,252.25,10672310702,252.2408,69,14033644,491242,1,72000,,37545490,2025-09-24,-0.008332350744802097,-0.07792881193260354,21,0.5238095238095238,0.2857142857142857
2025-09-25,256.87,257.17,251.712,55202075,253.205,256.93,256.94,14066695216,254.6846,83,12354820,625867,1,72000,,48646955,2025-09-25,0.01807300542982837,-0.132515386082232,25,0.28,0.32
2025-09-26,255.46,257.6,253.78,46076258,254.095,255.46,255.47,11770550850,255.4644,73,12336800,550704,1,72000,,41859160,2025-09-26,-0.00548915793981386,-0.2536251207015344,7,0.14285714285714285,0.2857142857142857
2025-09-29,254.43,255.0,253.01,40127687,254.56,254.34,254.35,10193357617,253.9745,60,11671770,489835,1,72900,,36076803,2025-09-29,-0.0040319423784546116,-0.01694297241047025,10,0.5,0.3
2025-09-30,254.63,255.919,253.11,37704259,254.855,254.53,254.57,9597205069,254.5398,59,12582513,439294,1,72900,,33827169,2025-09-30,0.0007860708249813886,-0.0382251610358556,15,0.3333333333333333,0.5333333333333333
2025-10-01,255.45,258.79,254.93,48713940,255.04,255.4,255.42,12470963075,256.0631,58,15259295,535581,1,72000,,44387279,2025-10-01,0.0032203589522050713,0.016167665241907023,15,0.4,0.2
2025-10-02,257.13,258.18,254.15,42630239,256.575,257.13,257.2,10949789659,256.9281,84,12146853,485229,1,72000,,37656700,2025-10-02,0.0065766294773927925,0.28345332555472846,10,0.4,0.0
2025-10-03,258.02,259.24,253.95,49155614,254.665,257.99,258.04,12675248751,257.9517,73,9681970,706052,1,72900,,45058981,2025-10-03,0.0034612841753198786,-0.15555870382051015,29,0.20689655172413793,0.5517241379310345
2025-10-06,256.69,259.07,255.05,44664118,257.99,256.63,256.65,11472834851,256.8639,72,14222738,649161,1,72000,,38753862,2025-10-06,-0.005154639175257714,0.2838654033839702,7,0.2857142857142857,0.0
2025-10-07,256.48,257.4,255.43,31955776,256.805,256.4,256.49,8193755579,256.4088,61,7967530,511382,1,72000,,29078047,2025-10-07,-0.000818107444777616,-0.021508472878485934,10,0.4,0.3
2025-10-08,258.06,258.52,256.11,36496895,256.52,258.03,258.06,9409334653,257.8098,86,12943803,395556,1,72000,,30842210,2025-10-08,0.006160324391765393,-0.0070720390727122846,15,0.4666666666666667,0.26666666666666666
